t,th1,w1,th2,w2,l1,l2,l3,l4
0,1,-3,-1,5,0,0,0,0
0.02,0.938614,-3.14224,-0.895946,5.41732,0,0,0,0
0.04,0.874139,-3.31025,-0.782777,5.91441,0.0683812,0.0116628,0.0200682,-0.136653
0.06,0.805975,-3.51267,-0.658696,6.51274,0.241257,0.0442525,0.0490778,-0.391577
0.07,0.770272,-3.63001,-0.591868,6.85875,0.462727,0.0651791,0.0653844,-0.649001
0.08,0.733333,-3.75998,-0.521399,7.24155,0.57851,0.0718135,0.0690367,-0.764412
0.09,0.695026,-3.90395,-0.4469,7.66532,0.692035,0.0787603,0.0702787,-0.867797
0.1,0.655204,-4.0629,-0.367945,8.1333,0.798338,0.0891682,0.0693845,-0.956979
0.105,0.634678,-4.14808,-0.326655,8.38423,0.890201,0.10739,0.066542,-1.02888
0.11,0.613717,-4.23692,-0.284084,8.64606,0.92731,0.121377,0.0644699,-1.05695
0.115,0.592303,-4.32911,-0.240178,8.91792,0.955846,0.140128,0.0620551,-1.07878
0.12,0.570421,-4.42413,-0.194891,9.19826,0.972934,0.165294,0.0594423,-1.09344
0.125,0.548059,-4.52119,-0.148185,9.48463,0.97467,0.199217,0.0569006,-1.09986
0.135,0.501869,-4.71633,-0.0504551,10.0597,0.95565,0.245345,0.0549277,-1.09694
0.14,0.478049,-4.81073,0.000541818,10.3369,0.821532,0.3983,0.0570815,-1.05986
0.145,0.45377,-4.89976,0.0528854,10.5969,0.680079,0.526127,0.0657981,-1.02639
0.15,0.429066,-4.98042,0.106466,10.8301,0.467283,0.707175,0.0854741,-0.987307
0.155,0.403985,-5.04948,0.161125,11.0263,0.209288,0.9161,0.123083,-0.951497
0.16,0.378596,-5.10376,0.21665,11.1752,0.162205,0.903861,0.18493,-0.933493
0.165,0.352977,-5.14055,0.272783,11.268,0.506496,0.508056,0.267817,-0.949277
0.17,0.327222,-5.15797,0.329226,11.2986,0.903656,0.0954031,0.349763,-1.00602
0.175,0.301431,-5.15535,0.385661,11.2647,1.2203,-0.180143,0.401328,-1.09548
0.18,0.275701,-5.1333,0.441769,11.1683,1.45814,-0.328877,0.413347,-1.20014
0.185,0.250127,-5.09364,0.497249,11.0149,1.63276,-0.395313,0.398892,-1.3039
0.19,0.22479,-5.03906,0.551837,10.813,1.75709,-0.417464,0.373803,-1.3969
0.195,0.199756,-4.97273,0.605315,10.5727,1.84117,-0.417913,0.347324,-1.47489
0.2,0.175077,-4.89789,0.657516,10.304,1.89307,-0.408084,0.323252,-1.53717
0.205,0.150786,-4.81757,0.708324,10.0165,1.91943,-0.393388,0.302674,-1.58492
0.21,0.126906,-4.73438,0.757663,9.71819,1.92578,-0.376313,0.285606,-1.62006
0.22,0.0803996,-4.56742,0.851821,9.11385,1.91668,-0.35797,0.271713,-1.64476
0.225,0.0577659,-4.48649,0.896644,8.81638,1.86637,-0.319024,0.251873,-1.67075
0.23,0.0355297,-4.40853,0.939996,8.52571,1.83054,-0.298601,0.245224,-1.67543
0.235,0.0136748,-4.33408,0.981915,8.2434,1.79027,-0.277512,0.240375,-1.67636
0.245,-0.0289668,-4.19692,1.06163,7.70683,1.74699,-0.255697,0.237094,-1.6746
0.255,-0.070318,-4.07601,1.13618,7.20844,1.65557,-0.209638,0.234496,-1.6661
0.265,-0.11054,-3.97092,1.20592,6.74589,1.56221,-0.159997,0.236184,-1.65461
